user_id,item_id,behavior_type,user_geohash,user_item_category,time,item_geohash,item_item_category
100509623,366220812,1,,1963,2014-11-30 16,,1963
112707614,78595802,1,9rg1gqo,5027,2014-12-18 14,,
123118241,61481431,1,9rnakcb,215,2014-12-11 19,,
120013837,289977821,1,942hup3,5894,2014-12-13 23,,
117659143,148091979,1,,11279,2014-11-19 01,,
129894791,57746749,1,,1519,2014-12-09 12,,
136769457,350098672,2,,2825,2014-11-20 11,,
136769457,374756970,1,,4370,2014-12-06 09,,
118960775,64063913,1,99ct0od,11917,2014-12-08 13,,
125547509,334482256,1,97lkbtf,1863,2014-12-16 18,,
17883538,161383888,1,95ucwwt,5468,2014-11-27 15,,
138008005,225308090,1,95qoa1d,14079,2014-11-25 21,,
25455279,292322703,2,,11824,2014-12-05 18,,
47548482,278908091,3,95unfv9,4264,2014-11-28 19,,
38227021,151738313,1,,11508,2014-12-09 20,,
58581609,298119056,1,94jci96,1863,2014-12-04 21,,
41979181,391594704,1,,11489,2014-11-27 15,,
59767111,97079086,1,,72,2014-11-20 12,,
5786807,266625994,1,94lq9qg,3424,2014-12-06 16,,
52772551,156216782,1,,6267,2014-12-10 22,,
104792616,311957403,2,,2953,2014-12-17 21,,
71796341,267784267,1,,9839,2014-11-26 15,,
102827853,76272037,1,95vqn4c,10894,2014-12-12 13,,
10580879,18158662,1,,8378,2014-11-29 14,,
139961106,229538249,1,,1155,2014-12-17 05,,
122803562,257251353,1,mtmigbt,9559,2014-12-05 21,,
2379445,308705603,1,,6669,2014-12-17 21,,
98047837,112715535,1,,7572,2014-11-22 01,,7572
26949426,326366531,1,,8088,2014-12-04 20,,
10773940,392823032,1,946jkfr,5232,2014-12-05 13,,
135802457,331769286,1,,7876,2014-12-17 20,,7876
84289150,365983914,1,,10894,2014-12-09 22,,
40719208,51907403,1,,8099,2014-12-03 15,,8099
44806939,9699681,1,,1396,2014-12-12 02,,
89953582,177233586,1,954vowt,7549,2014-12-03 16,,
44806939,361919107,3,,5894,2014-11-24 15,,
56886732,102694045,1,,11279,2014-12-18 21,,
49396813,395878795,1,,10392,2014-12-09 09,,
90331505,271919570,1,,11279,2014-11-23 15,,
68362875,290698266,1,,5232,2014-12-05 08,,
132231447,108150824,1,,552,2014-12-15 18,,
132231447,155676588,1,95rnvov,3628,2014-12-15 14,,
112401993,84918078,1,9q2oagn,1230,2014-11-20 19,,
139061840,326429901,3,,2825,2014-12-05 11,,
9835014,56921064,1,973h5sq,155,2014-12-12 21,,
138387712,171203774,1,,5894,2014-12-12 10,,
9290733,118684786,3,,4370,2014-12-12 13,,
33077425,51760241,1,,10223,2014-12-01 17,,
15171548,127838734,3,9rnnfgw,11335,2014-12-12 22,,
15171548,153012523,1,,13230,2014-12-11 22,,
132966536,294452695,1,,3064,2014-11-23 20,,3064
